id,public_name,lat,lng,address,postal_code
sembawang-wellingtoncircle-blk508-deck1b,Sembawang/Wellington Circle/Blk 508/Deck 1B,1.452938,103.81986,508 Wellington circle,750508
sengkang-rivervaledrive-blk190c-deck1b,Sengkang/Rivervale Drive/Blk 190C/Deck 1B,1.39479,103.902436,190C Rivervale drive,543190
sengkang-rivervaledrive-blk124d-deck1a,Sengkang/Rivervale Drive/Blk 124D/Deck 1A,1.387552,103.902722,124D Rivervale drive,544124
toapayoh-joosengroad-blk2a-deck1a,Toa Payoh/Joo Seng Road/Blk 2A/Deck 1A,1.334573,103.879269,2A Joo seng Road,361002
tampines-tampinesstreet71-blk701a-deck1a,Tampines/Tampines Street 71/Blk 701A/Deck 1A,1.356541,103.936594,701A Tampines street 71,521701
bishan-shunfuroad-blk320-deck3a,Bishan/Shunfu Road/Blk 320/Deck 3A,1.35221,103.836832,"320 Shunfu Road, Shunfu Mart",570320
woodlands-woodlandsdrive16-blk579a-deck1b,Woodlands/Woodlands Drive 16/Blk 579A/Deck 1B,1.431012,103.795431,579A Woodlands Drive 16,731579
bukitmerah-telokblangahstreet32-blk78a-deck1b,Bukit Merah/Telok Blangah Street 32/Blk 78A/Deck 1B,1.273384,103.808952,78A Telok Blangah street 32,101078
yishun-yishunave9-blk317-deck2b,Yishun/Yishun Ave 9/Blk 317/Deck 2B,1.433711,103.842253,"317 Yishun Avenue 9, Yishun Greenwalk",760317
hougang-buangkokcrescent-blk980-deck1a,Hougang/Buangkok Crescent/Blk 980/Deck 1A,1.380032,103.880138,980 Buangkok Crescent,530980
serangoon-serangoonave2-blk238a-deck2a,Serangoon/Serangoon Ave 2/Blk 238A/Deck 2A,1.354025,103.868894,238A Serangoon Avenue 2,551238
pasirris-pasirrisstreet12-blk199a-deck1b,Pasir Ris/Pasir Ris Street 12/Blk 199A/Deck 1B,1.366493,103.959538,199A Pasir Ris Street 12,511199
yishun-yishunstreet51-blk504-deck2,Yishun/Yishun Street 51/Blk 504/Deck 2,1.418416,103.844755,504 Yishun street 51,760504
