full_name,lon,lat
Ang Mo Kio Hub,103.844033508031,1.38791203309194
Albert Complex,103.853794531128,1.30237807553018
Albert Court,103.851043173943,1.30415384607588
Beauty World Centre,103.776539385678,1.34241264188642
Beauty World Plaza,103.776304121109,1.34178799847021
Bras Basah Complex,103.853907185582,1.29679486357102
Bukit Panjang Plaza,103.764377765935,1.37988291404113
Bukit Timah Plaza,103.778585430975,1.33863165277451
Bukit Timah Shopping Centre,103.775854160806,1.34332078949296
Capital Square,103.848603133687,1.28376153776504
Capitol Building,103.851569286784,1.2935414355709
Cathay Cineleisure Orchard,103.836444791568,1.30149743415612
Causeway Point,103.786047454862,1.43592702612215
Central Mall,103.842677071456,1.28856664081956
Central Place,103.964667857031,1.33617951891522
Century Square,103.943727694121,1.35227804040127
Chinatown Complex,103.843177640795,1.28223521144331
Chinatown Plaza,103.842133927958,1.27865253221983
Chinatown Point,103.844942912343,1.28526073702917
City Plaza,103.893477464106,1.31480226743887
Citylink Mall,103.854316064564,1.29260349413333
Concord Shopping Centre,103.834206802698,1.28888605616528
Coronation Arcade,103.810527814814,1.32330114361275
Coronation Plaza,103.810002032513,1.32383369976841
Delfi Orchard,103.82846871252,1.30717805424682
Downtown East,103.95477359289,1.37777584209542
Esplanade Mall,103.855665761541,1.28950956232931
Eastpoint Mall,103.953050756306,1.34269199750599
Far East Plaza,103.833735289647,1.30726606438137
Far East Shopping Centre,103.829984994988,1.30550628568953
Fortune Centre,103.852292796726,1.30041423392971
Forum The Shopping Mall,103.82867554961,1.30612522560715
Fu Lu Shou Complex,103.854495182879,1.30145299324791
Funan I.T. Mall,103.866402,1.27805
Golden Mile Complex,103.865373165414,1.30292474749953
Goldhill Plaza,103.842875416362,1.31819415982855
Great World City,103.831975865363,1.29347596207041
Greenridge Shopping Centre,103.766228468185,1.38540569310644
Harbourfront Centre,103.818625582847,1.26206336349687
Heartland Mall,103.885169070198,1.35954450890401
Heeren,103.837317277241,1.30265057391112
Holland Road Shopping Centre,103.795371162831,1.31027747574116
Hougang Green Shopping Mall,103.88784708944,1.37931783499147
IMM Building,103.746877132868,1.33491758755437
International Building,103.831014834847,1.30607855712798
Junction 8,103.848430075605,1.35017243257769
Jurong Point,103.706685012654,1.33945200436318
Katong Plaza,103.903875245539,1.3041633227127
Katong Shopping Centre,103.901161718308,1.30379813229513
Kembangan Plaza,103.912647080528,1.32037511125742
IMM Building Jurong East,103.746734487309,1.33489844010888
Leisure Park,103.962363155176,1.35696992382836
Liat Towers,103.830727915062,1.30510759038416
Liang Court,103.844547179775,1.29065860407433
Little India Arcade,103.852102571413,1.30544565429273
Lot 1 Shoppers' Mall,103.744950378814,1.38506836476437
Lucky Chinatown,103.843311643743,1.28364109716272
Marina Leisureplex,103.859035587802,1.2902499137329
Marina Square Shopping Mall,103.8571836,1.2912739
Midpoint Orchard,103.838660627347,1.30178378195546
Millenia Walk,103.859900233499,1.29204605302049
Mustafa Centre,103.855299784017,1.31008085318248
Ngee Ann City (Takashimaya),103.8345284,1.302617
Northpoint Shopping Centre,103.835803487655,1.42964377363773
Novena Square,103.844191353077,1.31929542501905
NTUC Hougang Mall,103.893788141349,1.37248308734509
OG Orchard,103.838486620031,1.30185487953534
One Fullerton,103.853780513765,1.2859479566313
Orchard Emerald,103.838914998409,1.30156308609767
Orchard Plaza,103.841151770455,1.30126533062133
Orchard Point,103.84055444853,1.30137337509656
Orchard Shopping Centre,103.83788829913,1.30148499762744
Orchard Towers,103.829217749325,1.30684615299344
Pacific Plaza,103.832126400417,1.3065372177724
Paragon,103.835240308481,1.30375855987931
Parco Bugis Junction,103.855923558787,1.2998163989745
Park Mall,103.853518084567,1.29966016502847
Parklane Shopping Mall,103.849448611733,1.30064530169433
Parkway Parade,103.905204909662,1.30112841266068
People's Park Complex,103.842578771326,1.2848586083002
Plaza Singapura,103.845067272938,1.30082071769235
Queensway Shopping Centre,103.803391140455,1.2876179255874
Raffles City Shopping Centre,103.853119904656,1.29389357863313
Riverside Point,103.844186121173,1.28927727005679
Rivervale Mall,103.904473070943,1.39221732695142
Robertson Walk,103.841359786872,1.29186333652407
Rochor Centre,103.854218906775,1.30761941443084
Roxy Square,103.904060346056,1.30433308408718
Square 2 Novena,103.844191353077,1.31929542501905
Sembawang Shopping Centre,103.82449507066,1.44176715230315
Serangoon Plaza,103.855146819671,1.31078075190145
Serene Centre,103.813698681482,1.3225953918961
Shaw Centre,103.83197058154,1.30611334628277
Shaw House,103.77328360282,1.29369438514721
Shaw Plaza,103.851688053785,1.32489375700828
Sim Lim Square,103.853038663425,1.30302298414827
Sim Lim Tower,103.854639960657,1.30381132990834
Sin Ming Plaza,103.836407211393,1.35286373429989
Singapore Shopping Centre,103.844628721032,1.28649701803051
Stamford Arts Centre,103.852975337136,1.30019655731162
Stamford House,103.850821336975,1.29409146652972
Sun Plaza,103.946744339346,1.35926194211669
Sunshine Plaza,103.850892323466,1.30039433798822
Sunshine Place,103.739015486021,1.37789727709419
Suntec City Mall,103.859724361759,1.29464674534007
Tampines Mall,103.944387981063,1.35267232210231
Tampines Mart,103.960042188281,1.35436493771721
Tanglin Mall,103.823883490852,1.30485342102105
Tanglin Place,103.825098669476,1.30528649607282
Tanglin Shopping Centre,103.827145307763,1.30645661300573
Tang Plaza,103.833018910157,1.30501188536556
Tanjong Katong Complex,103.894289389013,1.31654467624996
Thomson Plaza,103.830944960934,1.35465019298909
Tiong Bahru Plaza,103.827158267789,1.28647119992724
